attempts,source_file,from_manager,to_manager,transformation_type,transform_duration,validate_duration,is_valid,errors,transform_attempts,error_category
1,create-batch-job.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,create-batch-job.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run.slurm-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,run.slurm-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,sbatch_script_sequential-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,sbatch_script_sequential-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,srun-nccl.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,srun-nccl.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,main.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,main.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
3,G2N2-v100.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,G2N2-v100.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,launch.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,launch.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,run.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,sbatch_keras.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,sbatch_keras.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
5,install.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--ntasks=1\n--cpus-per-task=16\n--gpus-per-task=1'],1,Directive Syntax/Format Error
1,v5_cascadelake_4_full.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
5,v5_cascadelake_4_full.pbs-flux-result.json,pbs,flux,pbs -> flux,,,False,['Validation failed at directives:\n--ntasks=1\n--cpus-per-task=16\n--mem=80G'],1,Directive Syntax/Format Error
5,BERT_finetune_Fremstillingsform.sh-flux-result.json,lsf,flux,lsf -> flux,,,False,"[""Jobspec is invalid, required changes: [{'line': '# #flux: --mail-user=your_email_address', 'reason': 'sentinel changed'}]""]",1,Other
1,BERT_finetune_Fremstillingsform.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,job.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
5,job.sh-flux-result.json,lsf,flux,lsf -> flux,,,False,['Validation failed at directives:\n--ntasks=15\n--cpus-per-task=1\n--mem-per-cpu=30G'],1,Directive Syntax/Format Error
1,kongull.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,kongull.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
5,kongull.pbs-flux-result.json,pbs,flux,pbs -> flux,,,False,['Validation failed at directives:\n--tasks-per-node=3'],1,Directive Syntax/Format Error
1,kongull.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
2,MASTER_CC18.scr-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,MASTER_CC18.scr-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,cnn_nvprof.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,cnn_nvprof.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,mccd_data_gen_candide.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,mccd_data_gen_candide.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
5,low_resource_bg_classifier.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--cores-per-task=1\n--gpus-per-task=1\n--mem-per-task=16GB'],1,Directive Syntax/Format Error
1,low_resource_bg_classifier.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,09_DE_invivo.batch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,09_DE_invivo.batch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
5,run_ubelix_job.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--ntasks=1'],1,Directive Syntax/Format Error
1,run_ubelix_job.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run_meric.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run_meric.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run_rdd.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
2,run_rdd.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
3,job_ou_process_cpmmh0999_for_plot_mess_vs_N_10.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,job_ou_process_cpmmh0999_for_plot_mess_vs_N_10.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,Cu-case-7.in.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
2,Cu-case-7.in.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,hosts.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
5,hosts.sh-flux-result.json,lsf,flux,lsf -> flux,,,False,['Validation failed at directives:\n--ntasks-per-node=32'],1,Directive Syntax/Format Error
2,job_base.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,job_base.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,run_PredictTemple.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,run_PredictTemple.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--tasks=1'],1,Directive Syntax/Format Error
2,streams.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
2,resnet_retrieve-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,resnet_retrieve-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,bqsub4.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,bqsub4.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,batch_script.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,batch_script.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,launch_gptJ_srun.frontier-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,launch_gptJ_srun.frontier-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
5,run_bench_ff.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--ntasks=1\n--cores-per-task=8\n--gpus-per-task=1'],1,Directive Syntax/Format Error
1,run_bench_ff.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,submit.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,submit.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,launch_dask_ucx_cluster.lsf-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,launch_dask_ucx_cluster.lsf-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,runs.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,runs.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,SMC_taxa15.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,SMC_taxa15.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,setup.sbatch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,setup.sbatch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,noblur.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,noblur.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,test_job-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,test_job-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
5,gnuplot%405.4.2.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--tasks-per-node=1\n--cpus-per-task=8\n--gpus-per-task=1'],1,Directive Syntax/Format Error
1,gnuplot%405.4.2.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,molden%406.7.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,molden%406.7.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
3,run.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,mesh_nbody_new_benchmark_idris.job-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,mesh_nbody_new_benchmark_idris.job-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,consistency_replicability_songbird.bash-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,consistency_replicability_songbird.bash-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run_JGFS_WAFS_BLENDING.cray-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,run_JGFS_WAFS_BLENDING.cray-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,array.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,array.slurm-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--mem-per-task=5G'],1,Directive Syntax/Format Error
1,rs4-slurm.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,rs4-slurm.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,phyling-02-aln-hmmalign.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,create_gpu_env.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,create_gpu_env.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,infer.emp_dialog_t5.sbatch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,infer.emp_dialog_t5.sbatch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,humaneval_base_codellama.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,humaneval_base_codellama.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,submit.bkup.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,submit.bkup.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,moons.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,moons.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,equilibrate_mobile.pbs-flux-result.json,pbs,flux,pbs -> flux,,,False,['Validation failed at directives:\n--ntasks-per-node=2'],1,Directive Syntax/Format Error
1,equilibrate_mobile.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,starting_ipn_v4_psy4.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,starting_ipn_v4_psy4.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,MAGMA_LU_GPUDVFS.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
2,MAGMA_LU_GPUDVFS.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,run_code.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
2,run_code.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,launch_release.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,launch_release.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
2,slurm_predict_folds.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,slurm_predict_folds.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,resnet30-short-singularity-bs128.slurm-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
3,resnet30-short-singularity-bs128.slurm-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,runMoCap_AA_AA_4.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,runMoCap_AA_AA_4.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,run_train.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--tasks-per-node=8\n--gpus-per-task=1\n--cpus-per-task=8'],1,Directive Syntax/Format Error
1,run_train.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,00_reduce_2024_04_22_0.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,00_reduce_2024_04_22_0.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,44B_Cerebellum_STEP_2.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,44B_Cerebellum_STEP_2.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--mem=400G'],1,Directive Syntax/Format Error
1,run_train_GQR_qrecc.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run_train_GQR_qrecc.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,slurmsweep.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,slurmsweep.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--tasks-per-node=1'],1,Directive Syntax/Format Error
1,detr.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,detr.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,jobscript_summit.lsf-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
4,jobscript_summit.lsf-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,train.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,train.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,rocblas4gpu.sbatch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,rocblas4gpu.sbatch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,snakemake.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
5,snakemake.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--ntasks=1\n--cpus-per-task=1\n--mem=2G'],1,Directive Syntax/Format Error
1,submit.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,submit.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,job.4-3.scratch.ghostnet.qsub-flux-result.json,cobalt,flux,cobalt -> flux,,,True,[],1,
1,job.4-3.scratch.ghostnet.qsub-slurm-result.json,cobalt,slurm,cobalt -> slurm,,,True,[],1,
4,job.nsys-3.ghostnet.qsub-flux-result.json,cobalt,flux,cobalt -> flux,,,True,[],1,
1,job.nsys-3.ghostnet.qsub-slurm-result.json,cobalt,slurm,cobalt -> slurm,,,True,[],1,
4,exp1-resnet18.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,exp1-resnet18.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run_conll.sbatch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run_conll.sbatch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,train_VOC.sh-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
2,train_VOC.sh-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
3,jobscript.sh-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,jobscript.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,mpi.sub-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,mpi.sub-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,lilo-flux-result.json,flux,flux,flux -> flux,,,True,[],1,
1,lilo-slurm-result.json,flux,slurm,flux -> slurm,,,True,[],1,
1,build_potfit.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,build_potfit.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
5,submit_gilbreth.sh-flux-result.json,slurm,flux,slurm -> flux,,,False,['Validation failed at directives:\n--ntasks=32'],1,Directive Syntax/Format Error
1,submit_gilbreth.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,faiss_index.wilkes3-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,faiss_index.wilkes3-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,lsf-submit.sh-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,lsf-submit.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,lsf-submit.sh-flux-result.json,lsf,flux,lsf -> flux,,,True,[],1,
1,lsf-submit.sh-slurm-result.json,lsf,slurm,lsf -> slurm,,,True,[],1,
1,run_tuberlin_4.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,run_tuberlin_4.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run_DC_alt.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,run_DC_alt.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,sbatch_dask-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,sbatch_dask-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
