,strategy,reasoning,prompt_id,status,selection_status,latency,contenders,worker,cost,actual_verdict,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,agentic,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,41,REJECTED,SelectionStatus.REJECTED,1.764116601087153,1,,,,,,,,,,,,,,,,,
1,agentic,"Ready status, netcdf-c 4.8.1, and H100 GPUs.",26,SUCCESS,SelectionStatus.SELECTED,3.2640844359993935,32,76,0.65,BUSY,76,hpc,1104480.0,8394.0,9204.0,1398.0,167760.0,120.0,6.0,8388.0,7806.0,0.65,0.015,0.16
2,agentic,Lowest GPU queue depth of the BUSY clusters while fulfilling hardware and software requirements.,71,SUCCESS,SelectionStatus.SELECTED,1.9834538698196411,11,59,,READY,59,hpc,953465.0,5556.0,8291.0,926.0,106490.0,115.0,6.0,5556.0,7366.0,0.65,0.015,0.16
3,agentic,All selection strategies failed. AgenticSelector: Cluster is BUSY and requires user to install petsc4py.,6,REJECTED,SelectionStatus.REJECTED,1.1150124340783805,1,,,,,,,,,,,,,,,,,
4,agentic,READY cluster that meets all requirements. User will provide MVAPICH2 in container.,97,SUCCESS,SelectionStatus.SELECTED,1.9943829618860036,35,41,0.65,BUSY,41,hpc,1271296.0,6040.0,9932.0,754.0,96512.0,128.0,8.0,6032.0,9178.0,0.65,0.015,0.16
5,agentic,"All clusters are BUSY, but 82 has the shortest queue meeting all the user's requirements.",3,SUCCESS,SelectionStatus.SELECTED,2.0980547841172665,18,82,0.65,BUSY,82,hpc,497728.0,113.0,5656.0,112.0,9856.0,88.0,1.0,112.0,5544.0,0.65,0.015,0.16
6,agentic,Cluster 67 is READY and meets all requirements.,20,SUCCESS,SelectionStatus.SELECTED,2.0629233450163156,15,67,23064.0,BUSY,67,cloud,11392.0,340.0,178.0,46.0,2982.0,64.0,2.0,92.0,9.0,1.5,0.08,1.49
7,agentic,"Scanpy 3.7.4 is available, and hardware requirements are met, although the cluster is BUSY.",84,SUCCESS,SelectionStatus.SELECTED,1.3604439029004425,3,54,0.65,BUSY,54,hpc,1121456.0,1504.0,9424.0,187.0,22253.0,119.0,8.0,1496.0,9237.0,0.65,0.015,0.16
8,agentic,"Smallest queue depth among busy clusters, potentially shorter wait time.",66,SUCCESS,SelectionStatus.SELECTED,2.1321152930613607,3,78,31.849999999999998,BUSY,78,hpc,543634.0,2324.0,5974.0,574.0,52280.0,91.0,4.0,2296.0,5394.0,0.65,0.015,0.16
9,agentic,"Only option available. Meets the hardware requirements, but is busy.",87,SUCCESS,SelectionStatus.SELECTED,1.1681862259283662,1,78,0.65,BUSY,78,hpc,543634.0,2324.0,5974.0,573.0,52189.0,91.0,4.0,2292.0,5395.0,0.65,0.015,0.16
