,uid,worker_id,worker_gid,prompt_id,prompt,archetype,specificity,reasoning,complexity,is_correct,experiment,is_compatible,type_1_error,type_2_error,actual_verdict,agent_verdict,missing,software_name,gpu_count,node_count,low_latency_req,mpi_req,gpu_logic,is_satisfied,is_justified,is_justified_reason,is_rigorous,has_software,has_compute,has_parallel,has_storage,has_network,has_temporal,has_container
0,experiment_0_worker_75_prompt_53,75,worker_75_experiment_0,53,I need to request 1 cores to run mvapich2 >= 2.3.7. to run on CPU  AND 6 GPU per node,hpc,3,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'The cluster has MPICH version 4.0.2, which satisfies the requirement of MVAPICH2 >= 2.3.7. However, there are only 5 A100 GPUs per node, whereas the request needs 6 GPUs per node. The system is heavily loaded. The request cannot be fulfilled due to insufficient GPU resources.', 'metrics': {'queue_depth': 0, 'ets_seconds': 0}, 'constraints': ['Insufficient GPU resources per node.']}",7,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,compute: Not enough GPUs per node. Need 6 have 5,mvapich2,6,1,False,0,AND,False,True,System fundamentally lacks resource.,True,1,1,0,0,0,0,0
1,experiment_0_worker_75_prompt_88,75,worker_75_experiment_0,88,I need to request 1 nodes to run lammps <= 2021.8.3. with support for low latency MPI,hpc,3,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'The cluster does not have the requested LAMMPS version (<= 2021.8.3). The newest LAMMPS version available on this cluster is 20220623.', 'metrics': {'queue_depth': 0, 'ets_seconds': 0}, 'constraints': []}",8,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,"software: lammps@2021.8.3 has another version, but this requirement is not satisfied.",lammps,0,1,True,1,NONE,False,True,System fundamentally lacks resource.,True,1,1,1,0,0,0,0
2,experiment_0_worker_75_prompt_57,75,worker_75_experiment_0,57,I need to request 1 cores to run gromacs >= 2024.4.0. with support for low latency MPI to run on CPU OR 8 GPU per node,hpc,3,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'Gromacs version 2024.4.0 or later is not available. The latest available version is 2021.5.', 'metrics': {'queue_depth': 0, 'ets_seconds': 0}, 'constraints': []}",8,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,"software: gromacs@2024.4.0 has another version, but this requirement is not satisfied.|compute: Not enough GPUs per node. Need 8 have 5",gromacs,8,1,True,1,OR,False,True,System fundamentally lacks resource.,True,1,1,1,0,0,0,0
3,experiment_0_worker_75_prompt_69,75,worker_75_experiment_0,69,I want to immediately run diffusers == 3.3.1 with 1 cores on ethernet and lustre to run on CPU  AND 7 GPU per node,hpc,6,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'The request requires 7 GPUs per node, but the cluster only provides 5 A100 GPUs per node.', 'metrics': {'queue_depth': -1, 'ets_seconds': -1}, 'constraints': []}",10,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,software: diffusers@3.3.1 is missing|compute: Not enough GPUs per node. Need 7 have 5|network: missing requested fabric ethernet|storage: missing requested storage lustre,diffusers,7,1,False,0,AND,False,True,System fundamentally lacks resource.,False,1,1,0,1,1,1,0
4,experiment_0_worker_75_prompt_50,75,worker_75_experiment_0,50,I want a system to run pandas with 1 cores with support for low latency MPI to run on CPU OR 7 GPU per node,hpc,2,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'The cluster has 5 GPUs per node, while the request requires 7 GPUs per node.', 'metrics': {'queue_depth': -1, 'ets_seconds': -1}, 'constraints': []}",4,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,"software: pandas@1.15.5 has another version, but this requirement is not satisfied.",pandas,0,1,True,1,,False,True,System fundamentally lacks resource.,False,1,0,1,0,0,0,0
5,experiment_0_worker_75_prompt_55,75,worker_75_experiment_0,55,I want a system to run clang with 1 cores with support for low latency MPI,hpc,2,"{'verdict': 'BUSY', 'reasoning': 'Clang is available as a module and the system supports low-latency MPI, but the cluster is currently under very heavy load (99.5% CPU utilization), which will significantly impact performance.', 'metrics': {'queue_depth': 0, 'ets_seconds': -1}, 'constraints': []}",4,True,0,True,0,0,COMPATIBLE,BUSY,,clang,0,1,True,1,,True,True,"System compatible, agent determined busy but state is unknown.",True,1,0,1,0,0,0,0
6,experiment_0_worker_75_prompt_80,75,worker_75_experiment_0,80,"I need to run cupy <= 1.15.7, 1 nodes, ethernet, and local-scratch right now. to run on CPU OR 7 GPU per node",hpc,6,"{'verdict': 'INCOMPATIBLE', 'reasoning': 'CuPy version 1.15.7 is not available, only 5 GPUs per node, memory is nearly exhausted, and CPU load is high.', 'metrics': {'queue_depth': 0, 'ets_seconds': 0}, 'constraints': ['cupy@:1.15.7 not found', '7 GPUs per node required, only 5 available', 'Insufficient memory', 'High CPU load']}",10,True,0,False,0,0,INCOMPATIBLE,INCOMPATIBLE,"software: cupy@1.15.7 has another version, but this requirement is not satisfied.|compute: Not enough GPUs per node. Need 7 have 5|network: missing requested fabric ethernet|storage: missing requested storage local-scratch",cupy,7,1,False,0,OR,False,True,System fundamentally lacks resource.,False,1,1,0,1,1,1,0
7,experiment_0_worker_75_prompt_73,75,worker_75_experiment_0,73,I need to run a job with gdb. to run on CPU  AND 2 GPU per node,hpc,1,"{'verdict': 'BUSY', 'reasoning': 'GDB is available. However, the cluster is currently busy, evidenced by a high CPU load (99.5%) and a queue depth of 29 jobs. Though the requested GPU count is available per node, the system is overloaded.', 'metrics': {'queue_depth': 29, 'ets_seconds': -1}, 'constraints': []}",1,True,0,True,0,0,COMPATIBLE,BUSY,,gdb,0,1,False,0,,True,True,"System compatible, agent determined busy but state is unknown.",True,1,0,0,0,0,0,0
8,experiment_0_worker_75_prompt_33,75,worker_75_experiment_0,33,I want a system to run numpy (>= 2.15.7) with 1 cores. to run on CPU OR 6 GPU per node,hpc,3,"{'verdict': 'UNKNOWN', 'reason': 'Deliberation timed out.'}",7,False,0,False,0,0,INCOMPATIBLE,UNKNOWN,"software: numpy@2.15.7 has another version, but this requirement is not satisfied.|compute: Not enough GPUs per node. Need 6 have 5",numpy,6,1,False,0,OR,False,False,"The agent was unable to complete the task, likely max attempts.",False,1,1,0,0,0,0,0
9,experiment_0_worker_75_prompt_7,75,worker_75_experiment_0,7,Is aocc available for a 1 cores job? to run on CPU  AND 4 GPU per node,hpc,2,"{'verdict': 'BUSY', 'reasoning': 'AOCC is available, and the cluster has sufficient GPUs. However, the cluster is under very heavy load with a significant number of pending jobs.', 'metrics': {'queue_depth': 50, 'ets_seconds': -1}, 'constraints': []}",3,True,0,True,0,0,COMPATIBLE,BUSY,,aocc,0,1,False,0,,True,True,"System compatible, agent determined busy but state is unknown.",True,1,0,0,0,0,0,0
