,strategy,reasoning,prompt_id,status,selection_status,latency,contenders,worker,cost,actual_verdict,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,agentic-cost,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,46,REJECTED,SelectionStatus.REJECTED,1.2435889600310475,1,,,,,,,,,,,,,,,,,
1,agentic-cost,"Best available option: has stream, GPUs, low latency MPI support, and the shortest queue depth.",55,SUCCESS,SelectionStatus.SELECTED,1.6922406021039933,15,45,16226.6,BUSY,45,hpc,991300.0,8148.0,8620.0,1006.0,115690.0,115.0,7.0,7042.0,7457.0,0.65,0.015,0.16
2,agentic-cost,"Meets all hardware, networking, and software requirements; has the smallest queue depth among BUSY clusters that meet the requirements.",84,SUCCESS,SelectionStatus.SELECTED,1.3206606858875602,3,54,0.65,BUSY,54,hpc,1121456.0,1504.0,9424.0,187.0,22253.0,119.0,8.0,1496.0,9237.0,0.65,0.015,0.16
3,agentic-cost,"Shortest queue among BUSY clusters with pennant (>= 1.1.2), GPUs, and MPI.",68,SUCCESS,SelectionStatus.SELECTED,2.177169742062688,14,76,5.8500000000000005,BUSY,76,hpc,1104480.0,8394.0,9204.0,1396.0,167520.0,120.0,6.0,8376.0,7806.0,0.65,0.015,0.16
4,agentic-cost,Cluster 10 is BUSY but meets the hardware requirements. Cluster 27 is BUSY and does not have the software package installed.,47,SUCCESS,SelectionStatus.SELECTED,1.242381937801838,2,10,0.65,BUSY,10,hpc,1255776.0,12200.0,9888.0,1524.0,193615.0,127.0,8.0,12192.0,8364.0,0.65,0.015,0.16
5,agentic-cost,"Lowest queue depth, though ClearML requires manual installation.",52,SUCCESS,SelectionStatus.SELECTED,1.8291853771079332,15,41,0.65,BUSY,41,hpc,1271296.0,6040.0,9932.0,754.0,96512.0,128.0,8.0,6032.0,9178.0,0.65,0.015,0.16
6,agentic-cost,Smallest reported queue depth and has the software and hardware.,13,SUCCESS,SelectionStatus.SELECTED,1.6735512358136475,21,55,,BUSY,55,hpc,873869.0,489.0,8167.0,163.0,17441.0,107.0,3.0,489.0,8005.0,0.65,0.015,0.16
7,agentic-cost,All selection strategies failed. AgenticSelector: Cluster is busy.,16,REJECTED,SelectionStatus.REJECTED,1.058821452083066,2,,,,,,,,,,,,,,,,,
8,agentic-cost,Matches hardware requirements and has relatively lower queue depth among BUSY clusters.,15,SUCCESS,SelectionStatus.SELECTED,1.363659624941647,5,48,0.65,BUSY,48,hpc,684881.0,1647.0,6781.0,548.0,55348.0,101.0,3.0,1644.0,6233.0,0.65,0.015,0.16
9,agentic-cost,Cluster 80 is the least busy and closest to meeting the user request.,27,SUCCESS,SelectionStatus.SELECTED,2.7731252340599895,7,80,,BUSY,80,hpc,1280000.0,1400.0,10000.0,200.0,25600.0,128.0,7.0,1400.0,9801.0,0.65,0.015,0.16
10,agentic-cost,"Lowest queue depth, has required software, and sufficient hardware.",81,SUCCESS,SelectionStatus.SELECTED,1.8405893098097295,16,74,,BUSY,74,hpc,1102800.0,7376.0,9190.0,922.0,110640.0,120.0,8.0,7376.0,8269.0,0.65,0.015,0.16
11,agentic-cost,"mixbench is available with MPI support, MPICH with OFI for low latency MPI, and a relatively short queue.",14,SUCCESS,SelectionStatus.SELECTED,2.491164412116632,17,100,,BUSY,100,hpc,499467.0,570.0,5741.0,114.0,9918.0,87.0,5.0,570.0,5628.0,0.65,0.015,0.16
